Date,GDP,Unemployment_Rate,Inflation_Rate,Interest_Rate
2003-03-05,16068.805,5.1,1.88,1.21
2003-03-06,16068.805,5.1,1.93,1.21
2003-03-07,16068.805,5.1,1.91,1.21
2003-03-10,16068.805,5.1,1.9,1.21
2003-03-11,16068.805,5.1,1.92,1.21
2003-03-12,16068.805,5.1,1.92,1.21
2003-03-13,16068.805,5.1,2.01,1.21
2003-03-14,16068.805,5.1,1.83,1.21
2003-03-17,16068.805,5.1,1.85,1.21
2003-03-18,16068.805,5.1,1.83,1.21
2003-03-19,16068.805,5.1,1.83,1.21
2003-03-20,16068.805,5.1,1.81,1.21
2003-03-21,16068.805,5.1,1.82,1.21
2003-03-24,16068.805,5.1,1.8,1.21
2003-03-25,16068.805,5.1,1.8,1.21
2003-03-26,16068.805,5.1,1.81,1.21
2003-03-27,16068.805,5.1,1.85,1.21
2003-03-28,16068.805,5.1,1.83,1.21
2003-03-31,16068.805,5.1,1.8,1.21
2003-04-01,11312.766,6.0,1.82,1.26
2003-04-02,16068.805,5.1,1.83,1.21
2003-04-03,16068.805,5.1,1.81,1.21
2003-04-04,16068.805,5.1,1.8,1.21
2003-04-07,16068.805,5.1,1.82,1.21
2003-04-08,16068.805,5.1,1.77,1.21
2003-04-09,16068.805,5.1,1.8,1.21
2003-04-10,16068.805,5.1,1.79,1.21
2003-04-11,16068.805,5.1,1.77,1.21
2003-04-14,16068.805,5.1,1.82,1.21
2003-04-15,16068.805,5.1,1.8,1.21
2003-04-16,16068.805,5.1,1.76,1.21
2003-04-17,16068.805,5.1,1.76,1.21
2003-04-18,16068.805,5.1,2.19,1.21
2003-04-21,16068.805,5.1,1.75,1.21
2003-04-22,16068.805,5.1,1.74,1.21
2003-04-23,16068.805,5.1,1.76,1.21
2003-04-24,16068.805,5.1,1.71,1.21
2003-04-25,16068.805,5.1,1.73,1.21
2003-04-28,16068.805,5.1,1.76,1.21
2003-04-29,16068.805,5.1,1.74,1.21
2003-04-30,16068.805,5.1,1.73,1.21
2003-05-01,16068.805,6.1,1.75,1.26
2003-05-02,16068.805,5.1,1.75,1.21
2003-05-05,16068.805,5.1,1.73,1.21
2003-05-06,16068.805,5.1,1.67,1.21
2003-05-07,16068.805,5.1,1.7,1.21
2003-05-08,16068.805,5.1,1.7,1.21
2003-05-09,16068.805,5.1,1.69,1.21
2003-05-12,16068.805,5.1,1.68,1.21
2003-05-13,16068.805,5.1,1.69,1.21
2003-05-14,16068.805,5.1,1.66,1.21
2003-05-15,16068.805,5.1,1.67,1.21
2003-05-16,16068.805,5.1,1.62,1.21
2003-05-19,16068.805,5.1,1.61,1.21
2003-05-20,16068.805,5.1,1.65,1.21
2003-05-21,16068.805,5.1,1.66,1.21
2003-05-22,16068.805,5.1,1.63,1.21
2003-05-23,16068.805,5.1,1.62,1.21
2003-05-26,16068.805,5.1,2.19,1.21
2003-05-27,16068.805,5.1,1.61,1.21
2003-05-28,16068.805,5.1,1.61,1.21
2003-05-29,16068.805,5.1,1.58,1.21
2003-05-30,16068.805,5.1,1.6,1.21
2003-06-01,16068.805,6.3,2.19,1.22
2003-06-02,16068.805,5.1,1.6,1.21
2003-06-03,16068.805,5.1,1.58,1.21
2003-06-04,16068.805,5.1,1.57,1.21
2003-06-05,16068.805,5.1,1.59,1.21
2003-06-06,16068.805,5.1,1.61,1.21
2003-06-09,16068.805,5.1,1.61,1.21
2003-06-10,16068.805,5.1,1.59,1.21
2003-06-11,16068.805,5.1,1.59,1.21
2003-06-12,16068.805,5.1,1.61,1.21
2003-06-13,16068.805,5.1,1.62,1.21
2003-06-16,16068.805,5.1,1.59,1.21
2003-06-17,16068.805,5.1,1.57,1.21
2003-06-18,16068.805,5.1,1.58,1.21
2003-06-19,16068.805,5.1,1.61,1.21
2003-06-20,16068.805,5.1,1.63,1.21
2003-06-23,16068.805,5.1,1.61,1.21
2003-06-24,16068.805,5.1,1.61,1.21
2003-06-25,16068.805,5.1,1.67,1.21
2003-06-26,16068.805,5.1,1.7,1.21
2003-06-27,16068.805,5.1,1.68,1.21
2003-06-30,16068.805,5.1,1.64,1.21
2003-07-01,11566.669,6.2,1.64,1.01
2003-07-02,16068.805,5.1,1.6,1.21
2003-07-03,16068.805,5.1,1.58,1.21
2003-07-04,16068.805,5.1,2.19,1.21
2003-07-07,16068.805,5.1,1.6,1.21
2003-07-08,16068.805,5.1,1.63,1.21
2003-07-09,16068.805,5.1,1.73,1.21
2003-07-10,16068.805,5.1,1.76,1.21
2003-07-11,16068.805,5.1,1.78,1.21
2003-07-14,16068.805,5.1,1.82,1.21
2003-07-15,16068.805,5.1,1.88,1.21
2003-07-16,16068.805,5.1,1.89,1.21
2003-07-17,16068.805,5.1,1.93,1.21
2003-07-18,16068.805,5.1,1.96,1.21
2003-07-21,16068.805,5.1,1.98,1.21
2003-07-22,16068.805,5.1,1.98,1.21
2003-07-23,16068.805,5.1,2.01,1.21
2003-07-24,16068.805,5.1,2.02,1.21
2003-07-25,16068.805,5.1,2.08,1.21
2003-07-28,16068.805,5.1,2.04,1.21
2003-07-29,16068.805,5.1,2.04,1.21
2003-07-30,16068.805,5.1,2.02,1.21
2003-07-31,16068.805,5.1,2.08,1.21
2003-08-01,16068.805,6.1,2.04,1.03
2003-08-04,16068.805,5.1,2.01,1.21
2003-08-05,16068.805,5.1,2.04,1.21
2003-08-06,16068.805,5.1,1.98,1.21
2003-08-07,16068.805,5.1,2.01,1.21
2003-08-08,16068.805,5.1,2.0,1.21
2003-08-11,16068.805,5.1,2.07,1.21
2003-08-12,16068.805,5.1,2.08,1.21
2003-08-13,16068.805,5.1,2.17,1.21
2003-08-14,16068.805,5.1,2.17,1.21
2003-08-15,16068.805,5.1,2.19,1.21
2003-08-18,16068.805,5.1,2.16,1.21
2003-08-19,16068.805,5.1,2.14,1.21
2003-08-20,16068.805,5.1,2.19,1.21
2003-08-21,16068.805,5.1,2.24,1.21
2003-08-22,16068.805,5.1,2.22,1.21
2003-08-25,16068.805,5.1,2.22,1.21
2003-08-26,16068.805,5.1,2.22,1.21
2003-08-27,16068.805,5.1,2.18,1.21
2003-08-28,16068.805,5.1,2.13,1.21
2003-08-29,16068.805,5.1,2.16,1.21
2003-09-01,16068.805,6.1,2.19,1.01
2003-09-02,16068.805,5.1,2.18,1.21
2003-09-03,16068.805,5.1,2.2,1.21
2003-09-04,16068.805,5.1,2.2,1.21
2003-09-05,16068.805,5.1,2.18,1.21
2003-09-08,16068.805,5.1,2.17,1.21
2003-09-09,16068.805,5.1,2.16,1.21
2003-09-10,16068.805,5.1,2.1,1.21
2003-09-11,16068.805,5.1,2.13,1.21
2003-09-12,16068.805,5.1,2.09,1.21
2003-09-15,16068.805,5.1,2.1,1.21
2003-09-16,16068.805,5.1,2.03,1.21
2003-09-17,16068.805,5.1,2.0,1.21
2003-09-18,16068.805,5.1,2.01,1.21
2003-09-19,16068.805,5.1,2.0,1.21
2003-09-22,16068.805,5.1,2.05,1.21
2003-09-23,16068.805,5.1,2.05,1.21
2003-09-24,16068.805,5.1,2.03,1.21
2003-09-25,16068.805,5.1,2.05,1.21
2003-09-26,16068.805,5.1,2.05,1.21
2003-09-29,16068.805,5.1,2.06,1.21
2003-09-30,16068.805,5.1,2.01,1.21
2003-10-01,11772.234,6.0,2.0,1.01
2003-10-02,16068.805,5.1,2.02,1.21
2003-10-03,16068.805,5.1,2.05,1.21
2003-10-06,16068.805,5.1,2.06,1.21
2003-10-07,16068.805,5.1,2.1,1.21
2003-10-08,16068.805,5.1,2.09,1.21
2003-10-09,16068.805,5.1,2.12,1.21
2003-10-10,16068.805,5.1,2.15,1.21
2003-10-13,16068.805,5.1,2.19,1.21
2003-10-14,16068.805,5.1,2.19,1.21
2003-10-15,16068.805,5.1,2.23,1.21
2003-10-16,16068.805,5.1,2.26,1.21
2003-10-17,16068.805,5.1,2.27,1.21
2003-10-20,16068.805,5.1,2.28,1.21
2003-10-21,16068.805,5.1,2.26,1.21
2003-10-22,16068.805,5.1,2.22,1.21
2003-10-23,16068.805,5.1,2.31,1.21
2003-10-24,16068.805,5.1,2.32,1.21
2003-10-27,16068.805,5.1,2.34,1.21
2003-10-28,16068.805,5.1,2.32,1.21
2003-10-29,16068.805,5.1,2.33,1.21
2003-10-30,16068.805,5.1,2.39,1.21
2003-10-31,16068.805,5.1,2.4,1.21
2003-11-01,16068.805,5.8,2.19,1.0
2003-11-03,16068.805,5.1,2.43,1.21
2003-11-04,16068.805,5.1,2.4,1.21
2003-11-05,16068.805,5.1,2.36,1.21
2003-11-06,16068.805,5.1,2.37,1.21
2003-11-07,16068.805,5.1,2.38,1.21
2003-11-10,16068.805,5.1,2.4,1.21
2003-11-11,16068.805,5.1,2.19,1.21
2003-11-12,16068.805,5.1,2.4,1.21
2003-11-13,16068.805,5.1,2.36,1.21
2003-11-14,16068.805,5.1,2.35,1.21
2003-11-17,16068.805,5.1,2.36,1.21
2003-11-18,16068.805,5.1,2.34,1.21
2003-11-19,16068.805,5.1,2.33,1.21
2003-11-20,16068.805,5.1,2.24,1.21
2003-11-21,16068.805,5.1,2.22,1.21
2003-11-24,16068.805,5.1,2.24,1.21
2003-11-25,16068.805,5.1,2.27,1.21
2003-11-26,16068.805,5.1,2.29,1.21
2003-11-27,16068.805,5.1,2.19,1.21
2003-11-28,16068.805,5.1,2.31,1.21
2003-12-01,16068.805,5.7,2.32,0.98
2003-12-02,16068.805,5.1,2.33,1.21
2003-12-03,16068.805,5.1,2.33,1.21
2003-12-04,16068.805,5.1,2.34,1.21
2003-12-05,16068.805,5.1,2.31,1.21
2003-12-08,16068.805,5.1,2.33,1.21
2003-12-09,16068.805,5.1,2.32,1.21
2003-12-10,16068.805,5.1,2.33,1.21
2003-12-11,16068.805,5.1,2.37,1.21
2003-12-12,16068.805,5.1,2.35,1.21
2003-12-15,16068.805,5.1,2.3,1.21
2003-12-16,16068.805,5.1,2.25,1.21
2003-12-17,16068.805,5.1,2.23,1.21
2003-12-18,16068.805,5.1,2.22,1.21
2003-12-19,16068.805,5.1,2.2,1.21
2003-12-22,16068.805,5.1,2.2,1.21
2003-12-23,16068.805,5.1,2.25,1.21
2003-12-24,16068.805,5.1,2.24,1.21
2003-12-25,16068.805,5.1,2.19,1.21
2003-12-26,16068.805,5.1,2.23,1.21
2003-12-29,16068.805,5.1,2.25,1.21
2003-12-30,16068.805,5.1,2.28,1.21
2003-12-31,16068.805,5.1,2.27,1.21
2004-01-01,11923.447,5.7,2.19,1.0
2004-01-02,16068.805,5.1,2.32,1.21
2004-01-05,16068.805,5.1,2.35,1.21
2004-01-06,16068.805,5.1,2.32,1.21
2004-01-07,16068.805,5.1,2.33,1.21
2004-01-08,16068.805,5.1,2.28,1.21
2004-01-09,16068.805,5.1,2.22,1.21
2004-01-12,16068.805,5.1,2.22,1.21
2004-01-13,16068.805,5.1,2.22,1.21
2004-01-14,16068.805,5.1,2.16,1.21
2004-01-15,16068.805,5.1,2.17,1.21
2004-01-16,16068.805,5.1,2.21,1.21
2004-01-19,16068.805,5.1,2.19,1.21
2004-01-20,16068.805,5.1,2.24,1.21
2004-01-21,16068.805,5.1,2.26,1.21
2004-01-22,16068.805,5.1,2.23,1.21
2004-01-23,16068.805,5.1,2.27,1.21
2004-01-26,16068.805,5.1,2.27,1.21
2004-01-27,16068.805,5.1,2.27,1.21
2004-01-28,16068.805,5.1,2.3,1.21
2004-01-29,16068.805,5.1,2.31,1.21
2004-01-30,16068.805,5.1,2.31,1.21
2004-02-01,16068.805,5.6,2.19,1.01
2004-02-02,16068.805,5.1,2.34,1.21
2004-02-03,16068.805,5.1,2.32,1.21
2004-02-04,16068.805,5.1,2.33,1.21
2004-02-05,16068.805,5.1,2.35,1.21
2004-02-06,16068.805,5.1,2.33,1.21
2004-02-09,16068.805,5.1,2.33,1.21
2004-02-10,16068.805,5.1,2.34,1.21
2004-02-11,16068.805,5.1,2.3,1.21
2004-02-12,16068.805,5.1,2.33,1.21
2004-02-13,16068.805,5.1,2.31,1.21
2004-02-16,16068.805,5.1,2.19,1.21
2004-02-17,16068.805,5.1,2.3,1.21
2004-02-18,16068.805,5.1,2.3,1.21
2004-02-19,16068.805,5.1,2.29,1.21
2004-02-20,16068.805,5.1,2.31,1.21
2004-02-23,16068.805,5.1,2.29,1.21
2004-02-24,16068.805,5.1,2.3,1.21
2004-02-25,16068.805,5.1,2.31,1.21
2004-02-26,16068.805,5.1,2.36,1.21
2004-02-27,16068.805,5.1,2.38,1.21
2004-03-01,16068.805,5.8,2.45,1.0
2004-03-02,16068.805,5.1,2.47,1.21
2004-03-03,16068.805,5.1,2.48,1.21
2004-03-04,16068.805,5.1,2.44,1.21
2004-03-05,16068.805,5.1,2.39,1.21
2004-03-08,16068.805,5.1,2.35,1.21
2004-03-09,16068.805,5.1,2.33,1.21
2004-03-10,16068.805,5.1,2.29,1.21
2004-03-11,16068.805,5.1,2.24,1.21
2004-03-12,16068.805,5.1,2.26,1.21
2004-03-15,16068.805,5.1,2.31,1.21
2004-03-16,16068.805,5.1,2.3,1.21
2004-03-17,16068.805,5.1,2.35,1.21
2004-03-18,16068.805,5.1,2.39,1.21
2004-03-19,16068.805,5.1,2.36,1.21
2004-03-22,16068.805,5.1,2.32,1.21
2004-03-23,16068.805,5.1,2.32,1.21
2004-03-24,16068.805,5.1,2.35,1.21
2004-03-25,16068.805,5.1,2.35,1.21
2004-03-26,16068.805,5.1,2.38,1.21
2004-03-29,16068.805,5.1,2.41,1.21
2004-03-30,16068.805,5.1,2.39,1.21
2004-03-31,16068.805,5.1,2.38,1.21
2004-04-01,12112.815,5.6,2.43,1.0
2004-04-02,16068.805,5.1,2.46,1.21
2004-04-05,16068.805,5.1,2.49,1.21
2004-04-06,16068.805,5.1,2.46,1.21
2004-04-07,16068.805,5.1,2.37,1.21
2004-04-08,16068.805,5.1,2.41,1.21
2004-04-09,16068.805,5.1,2.19,1.21
2004-04-12,16068.805,5.1,2.44,1.21
2004-04-13,16068.805,5.1,2.47,1.21
2004-04-14,16068.805,5.1,2.49,1.21
2004-04-15,16068.805,5.1,2.49,1.21
2004-04-16,16068.805,5.1,2.5,1.21
2004-04-19,16068.805,5.1,2.52,1.21
2004-04-20,16068.805,5.1,2.46,1.21
2004-04-21,16068.805,5.1,2.49,1.21
2004-04-22,16068.805,5.1,2.42,1.21
2004-04-23,16068.805,5.1,2.36,1.21
2004-04-26,16068.805,5.1,2.43,1.21
2004-04-27,16068.805,5.1,2.43,1.21
2004-04-28,16068.805,5.1,2.4,1.21
2004-04-29,16068.805,5.1,2.4,1.21
2004-04-30,16068.805,5.1,2.42,1.21
2004-05-01,16068.805,5.6,2.19,1.0
2004-05-03,16068.805,5.1,2.44,1.21
2004-05-04,16068.805,5.1,2.46,1.21
2004-05-05,16068.805,5.1,2.51,1.21
2004-05-06,16068.805,5.1,2.48,1.21
2004-05-07,16068.805,5.1,2.55,1.21
2004-05-10,16068.805,5.1,2.56,1.21
2004-05-11,16068.805,5.1,2.58,1.21
2004-05-12,16068.805,5.1,2.66,1.21
2004-05-13,16068.805,5.1,2.67,1.21
2004-05-14,16068.805,5.1,2.63,1.21
2004-05-17,16068.805,5.1,2.63,1.21
2004-05-18,16068.805,5.1,2.69,1.21
2004-05-19,16068.805,5.1,2.76,1.21
2004-05-20,16068.805,5.1,2.76,1.21
2004-05-21,16068.805,5.1,2.72,1.21
2004-05-24,16068.805,5.1,2.74,1.21
2004-05-25,16068.805,5.1,2.7,1.21
2004-05-26,16068.805,5.1,2.68,1.21
2004-05-27,16068.805,5.1,2.63,1.21
2004-05-28,16068.805,5.1,2.66,1.21
2004-05-31,16068.805,5.1,2.19,1.21
2004-06-01,16068.805,5.6,2.74,1.03
2004-06-02,16068.805,5.1,2.7,1.21
2004-06-03,16068.805,5.1,2.66,1.21
2004-06-04,16068.805,5.1,2.67,1.21
2004-06-07,16068.805,5.1,2.67,1.21
2004-06-08,16068.805,5.1,2.63,1.21
2004-06-09,16068.805,5.1,2.62,1.21
2004-06-10,16068.805,5.1,2.63,1.21
2004-06-11,16068.805,5.1,2.19,1.21
2004-06-14,16068.805,5.1,2.63,1.21
2004-06-15,16068.805,5.1,2.53,1.21
2004-06-16,16068.805,5.1,2.56,1.21
2004-06-17,16068.805,5.1,2.55,1.21
2004-06-18,16068.805,5.1,2.57,1.21
2004-06-21,16068.805,5.1,2.54,1.21
2004-06-22,16068.805,5.1,2.55,1.21
2004-06-23,16068.805,5.1,2.53,1.21
2004-06-24,16068.805,5.1,2.51,1.21
2004-06-25,16068.805,5.1,2.5,1.21
2004-06-28,16068.805,5.1,2.53,1.21
2004-06-29,16068.805,5.1,2.5,1.21
2004-06-30,16068.805,5.1,2.52,1.21
2004-07-01,12305.307,5.5,2.53,1.26
2004-07-02,16068.805,5.1,2.52,1.21
2004-07-05,16068.805,5.1,2.19,1.21
2004-07-06,16068.805,5.1,2.52,1.21
2004-07-07,16068.805,5.1,2.5,1.21
2004-07-08,16068.805,5.1,2.47,1.21
2004-07-09,16068.805,5.1,2.47,1.21
2004-07-12,16068.805,5.1,2.44,1.21
2004-07-13,16068.805,5.1,2.47,1.21
2004-07-14,16068.805,5.1,2.48,1.21
2004-07-15,16068.805,5.1,2.49,1.21
2004-07-16,16068.805,5.1,2.44,1.21
2004-07-19,16068.805,5.1,2.42,1.21
2004-07-20,16068.805,5.1,2.42,1.21
2004-07-21,16068.805,5.1,2.45,1.21
2004-07-22,16068.805,5.1,2.45,1.21
2004-07-23,16068.805,5.1,2.45,1.21
2004-07-26,16068.805,5.1,2.44,1.21
2004-07-27,16068.805,5.1,2.47,1.21
2004-07-28,16068.805,5.1,2.5,1.21
2004-07-29,16068.805,5.1,2.53,1.21
2004-07-30,16068.805,5.1,2.49,1.21
2004-08-01,16068.805,5.4,2.19,1.43
2004-08-02,16068.805,5.1,2.48,1.21
2004-08-03,16068.805,5.1,2.47,1.21
2004-08-04,16068.805,5.1,2.45,1.21
2004-08-05,16068.805,5.1,2.47,1.21
2004-08-06,16068.805,5.1,2.42,1.21
2004-08-09,16068.805,5.1,2.43,1.21
2004-08-10,16068.805,5.1,2.42,1.21
2004-08-11,16068.805,5.1,2.44,1.21
2004-08-12,16068.805,5.1,2.46,1.21
2004-08-13,16068.805,5.1,2.45,1.21
2004-08-16,16068.805,5.1,2.44,1.21
2004-08-17,16068.805,5.1,2.39,1.21
2004-08-18,16068.805,5.1,2.4,1.21
2004-08-19,16068.805,5.1,2.46,1.21
2004-08-20,16068.805,5.1,2.45,1.21
2004-08-23,16068.805,5.1,2.42,1.21
2004-08-24,16068.805,5.1,2.41,1.21
2004-08-25,16068.805,5.1,2.38,1.21
2004-08-26,16068.805,5.1,2.36,1.21
2004-08-27,16068.805,5.1,2.37,1.21
2004-08-30,16068.805,5.1,2.36,1.21
2004-08-31,16068.805,5.1,2.35,1.21
2004-09-01,16068.805,5.4,2.36,1.61
2004-09-02,16068.805,5.1,2.37,1.21
2004-09-03,16068.805,5.1,2.42,1.21
2004-09-06,16068.805,5.1,2.19,1.21
2004-09-07,16068.805,5.1,2.4,1.21
2004-09-08,16068.805,5.1,2.36,1.21
2004-09-09,16068.805,5.1,2.39,1.21
2004-09-10,16068.805,5.1,2.36,1.21
2004-09-13,16068.805,5.1,2.35,1.21
2004-09-14,16068.805,5.1,2.34,1.21
2004-09-15,16068.805,5.1,2.32,1.21
2004-09-16,16068.805,5.1,2.27,1.21
2004-09-17,16068.805,5.1,2.29,1.21
2004-09-20,16068.805,5.1,2.27,1.21
2004-09-21,16068.805,5.1,2.25,1.21
2004-09-22,16068.805,5.1,2.27,1.21
2004-09-23,16068.805,5.1,2.26,1.21
2004-09-24,16068.805,5.1,2.26,1.21
2004-09-27,16068.805,5.1,2.29,1.21
2004-09-28,16068.805,5.1,2.32,1.21
2004-09-29,16068.805,5.1,2.34,1.21
2004-09-30,16068.805,5.1,2.37,1.21
2004-10-01,12527.214,5.5,2.38,1.76
2004-10-04,16068.805,5.1,2.33,1.21
2004-10-05,16068.805,5.1,2.34,1.21
2004-10-06,16068.805,5.1,2.33,1.21
2004-10-07,16068.805,5.1,2.37,1.21
2004-10-08,16068.805,5.1,2.37,1.21
2004-10-11,16068.805,5.1,2.19,1.21
2004-10-12,16068.805,5.1,2.37,1.21
2004-10-13,16068.805,5.1,2.37,1.21
2004-10-14,16068.805,5.1,2.35,1.21
2004-10-15,16068.805,5.1,2.37,1.21
2004-10-18,16068.805,5.1,2.36,1.21
2004-10-19,16068.805,5.1,2.37,1.21
2004-10-20,16068.805,5.1,2.35,1.21
2004-10-21,16068.805,5.1,2.39,1.21
2004-10-22,16068.805,5.1,2.36,1.21
2004-10-25,16068.805,5.1,2.36,1.21
2004-10-26,16068.805,5.1,2.38,1.21
2004-10-27,16068.805,5.1,2.38,1.21
2004-10-28,16068.805,5.1,2.41,1.21
2004-10-29,16068.805,5.1,2.42,1.21
2004-11-01,16068.805,5.4,2.44,1.93
2004-11-02,16068.805,5.1,2.49,1.21
2004-11-03,16068.805,5.1,2.48,1.21
2004-11-04,16068.805,5.1,2.45,1.21
2004-11-05,16068.805,5.1,2.5,1.21
2004-11-08,16068.805,5.1,2.5,1.21
2004-11-09,16068.805,5.1,2.48,1.21
2004-11-10,16068.805,5.1,2.5,1.21
2004-11-11,16068.805,5.1,2.19,1.21
2004-11-12,16068.805,5.1,2.49,1.21
2004-11-15,16068.805,5.1,2.53,1.21
2004-11-16,16068.805,5.1,2.53,1.21
2004-11-17,16068.805,5.1,2.51,1.21
2004-11-18,16068.805,5.1,2.48,1.21
2004-11-19,16068.805,5.1,2.53,1.21
2004-11-22,16068.805,5.1,2.56,1.21
2004-11-23,16068.805,5.1,2.54,1.21
2004-11-24,16068.805,5.1,2.56,1.21
2004-11-25,16068.805,5.1,2.19,1.21
2004-11-26,16068.805,5.1,2.58,1.21
2004-11-29,16068.805,5.1,2.6,1.21
2004-11-30,16068.805,5.1,2.61,1.21
2004-12-01,16068.805,5.4,2.59,2.16
2004-12-02,16068.805,5.1,2.57,1.21
2004-12-03,16068.805,5.1,2.54,1.21
2004-12-06,16068.805,5.1,2.54,1.21
2004-12-07,16068.805,5.1,2.54,1.21
2004-12-08,16068.805,5.1,2.52,1.21
2004-12-09,16068.805,5.1,2.55,1.21
2004-12-10,16068.805,5.1,2.5,1.21
2004-12-13,16068.805,5.1,2.51,1.21
2004-12-14,16068.805,5.1,2.52,1.21
2004-12-15,16068.805,5.1,2.52,1.21
2004-12-16,16068.805,5.1,2.55,1.21
2004-12-17,16068.805,5.1,2.57,1.21
2004-12-20,16068.805,5.1,2.59,1.21
2004-12-21,16068.805,5.1,2.59,1.21
2004-12-22,16068.805,5.1,2.58,1.21
2004-12-23,16068.805,5.1,2.61,1.21
2004-12-24,16068.805,5.1,2.19,1.21
2004-12-27,16068.805,5.1,2.63,1.21
2004-12-28,16068.805,5.1,2.62,1.21
2004-12-29,16068.805,5.1,2.6,1.21
2004-12-30,16068.805,5.1,2.57,1.21
2004-12-31,16068.805,5.1,2.56,1.21
2005-01-01,12767.286,5.3,2.19,2.28
2005-01-03,16068.805,5.1,2.53,1.21
2005-01-04,16068.805,5.1,2.51,1.21
2005-01-05,16068.805,5.1,2.5,1.21
2005-01-06,16068.805,5.1,2.53,1.21
2005-01-07,16068.805,5.1,2.49,1.21
2005-01-10,16068.805,5.1,2.52,1.21
2005-01-11,16068.805,5.1,2.5,1.21
2005-01-12,16068.805,5.1,2.52,1.21
2005-01-13,16068.805,5.1,2.5,1.21
2005-01-14,16068.805,5.1,2.51,1.21
