,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
18,NVDA241004C00081000,2024-09-27 18:29:53+00:00,81.0,38.6,40.4,41.05,-3.7000008,-8.747047,229,384,1.6308612207031248,True,REGULAR,USD
19,NVDA241004C00082000,2024-09-27 18:36:05+00:00,82.0,37.85,38.9,40.25,-3.9000015,-9.341321,75,376,1.4296903515625,True,REGULAR,USD
20,NVDA241004C00083000,2024-09-27 19:17:00+00:00,83.0,37.25,37.95,38.95,-2.7999992,-6.991259,190,339,1.1640666796875,True,REGULAR,USD
21,NVDA241004C00084000,2024-09-27 16:32:58+00:00,84.0,35.8,36.95,38.05,-4.049999,-10.163111,93,311,1.2421912890624998,True,REGULAR,USD
22,NVDA241004C00085000,2024-09-27 19:51:29+00:00,85.0,36.01,36.0,36.85,-3.4099998,-8.650431,111,351,1.015629921875,True,REGULAR,USD
23,NVDA241004C00086000,2024-09-27 16:52:18+00:00,86.0,34.1,34.9,36.0,-6.5,-16.009851,145,150,1.0664109179687502,True,REGULAR,USD
24,NVDA241004C00087000,2024-09-27 18:29:59+00:00,87.0,34.02,34.0,35.05,-2.4300003,-6.666667,67,202,1.1757853710937498,True,REGULAR,USD
25,NVDA241004C00088000,2024-09-27 14:26:35+00:00,88.0,31.8,32.75,34.25,-5.6500015,-15.086786,120,317,1.1015669921875002,True,REGULAR,USD
26,NVDA241004C00089000,2024-09-27 19:00:05+00:00,89.0,31.25,32.0,33.05,-3.1699982,-9.209757,207,389,1.1054732226562503,True,REGULAR,USD
27,NVDA241004C00090000,2024-09-27 19:56:00+00:00,90.0,31.4,31.05,31.95,-1.3599987,-4.1514006,867,482,1.0351610742187503,True,REGULAR,USD
28,NVDA241004C00091000,2024-09-27 19:00:05+00:00,91.0,30.6,30.0,31.05,-1.4499989,-4.5241776,130,396,1.0351610742187503,True,REGULAR,USD
29,NVDA241004C00092000,2024-09-27 19:49:24+00:00,92.0,29.6,29.0,30.05,-2.4499989,-7.6443024,160,256,1.001958115234375,True,REGULAR,USD
30,NVDA241004C00093000,2024-09-27 18:30:45+00:00,93.0,26.65,27.95,29.25,-4.460001,-14.33623,50,346,1.0468797656250002,True,REGULAR,USD
31,NVDA241004C00094000,2024-09-27 16:22:24+00:00,94.0,26.5,26.75,28.25,-5.6500015,-17.573877,61,311,0.9023447265625,True,REGULAR,USD
32,NVDA241004C00095000,2024-09-27 19:35:36+00:00,95.0,25.55,26.1,26.95,-3.9500008,-13.389833,368,758,0.9023447265625,True,REGULAR,USD
33,NVDA241004C00096000,2024-09-27 19:06:06+00:00,96.0,24.25,25.0,26.05,-3.8500004,-13.701069,214,1362,0.867188828125,True,REGULAR,USD
34,NVDA241004C00097000,2024-09-27 19:17:00+00:00,97.0,23.3,24.1,25.05,-3.4000015,-12.734088,104,1830,0.88476677734375,True,REGULAR,USD
35,NVDA241004C00098000,2024-09-27 19:02:55+00:00,98.0,22.25,23.05,24.05,-2.7999992,-11.177642,141,1859,0.8281267187499999,True,REGULAR,USD
36,NVDA241004C00099000,2024-09-27 19:33:36+00:00,99.0,21.69,22.05,23.05,-3.459999,-13.757452,94,1021,0.7949239257812499,True,REGULAR,USD
37,NVDA241004C00100000,2024-09-27 19:59:50+00:00,100.0,21.5,21.15,22.0,-2.7000008,-11.157027,626,32781,0.7832052929687501,True,REGULAR,USD
38,NVDA241004C00101000,2024-09-27 19:36:59+00:00,101.0,19.62,20.1,20.65,-2.2799988,-10.4109535,207,2107,0.8027363476562499,True,REGULAR,USD
39,NVDA241004C00102000,2024-09-27 19:34:10+00:00,102.0,18.7,19.1,20.05,-3.7999992,-16.888885,138,4568,0.7148466015625,True,REGULAR,USD
40,NVDA241004C00103000,2024-09-27 19:59:30+00:00,103.0,18.47,18.1,19.05,-2.5300007,-12.047623,212,2882,0.6816438085937502,True,REGULAR,USD
41,NVDA241004C00104000,2024-09-27 19:59:45+00:00,104.0,17.4,17.15,17.65,-1.7000008,-8.900528,224,2422,0.6972686523437501,True,REGULAR,USD
42,NVDA241004C00105000,2024-09-27 19:47:22+00:00,105.0,16.61,16.2,16.7,-2.8400002,-14.601542,893,2762,0.6884796777343751,True,REGULAR,USD
43,NVDA241004C00106000,2024-09-27 19:44:57+00:00,106.0,15.07,15.15,15.7,-2.83,-15.810056,221,1857,0.6523472265625001,True,REGULAR,USD
44,NVDA241004C00107000,2024-09-27 19:52:59+00:00,107.0,14.3,14.2,15.15,-3.0899992,-17.76883,430,20482,0.6044961425781252,True,REGULAR,USD
45,NVDA241004C00108000,2024-09-27 19:52:09+00:00,108.0,13.9,13.2,13.75,-2.3500004,-14.461541,671,30416,0.6025430371093752,True,REGULAR,USD
46,NVDA241004C00109000,2024-09-27 19:57:19+00:00,109.0,12.67,12.25,13.0,-2.5299997,-16.644735,1032,2960,0.5097705273437501,True,REGULAR,USD
47,NVDA241004C00110000,2024-09-27 19:59:17+00:00,110.0,11.67,11.4,11.95,-2.6499996,-18.505583,2783,16832,0.5986368261718751,True,REGULAR,USD
48,NVDA241004C00111000,2024-09-27 19:57:23+00:00,111.0,10.8,10.4,11.2,-2.5900002,-19.342794,1069,1965,0.5102588037109376,True,REGULAR,USD
49,NVDA241004C00112000,2024-09-27 19:56:56+00:00,112.0,10.0,9.65,10.3,-2.79,-21.813917,1344,3541,0.5258836474609375,True,REGULAR,USD
50,NVDA241004C00113000,2024-09-27 19:58:09+00:00,113.0,8.85,8.7,9.1,-2.5999994,-22.707418,2588,2716,0.5180712255859375,True,REGULAR,USD
51,NVDA241004C00114000,2024-09-27 19:58:59+00:00,114.0,8.08,7.7,8.3,-2.5200005,-23.773588,1215,2557,0.5214891601562499,True,REGULAR,USD
52,NVDA241004C00115000,2024-09-27 19:59:14+00:00,115.0,7.25,6.95,7.5,-2.4099998,-24.948238,4622,6443,0.51758294921875,True,REGULAR,USD
53,NVDA241004C00116000,2024-09-27 19:58:51+00:00,116.0,6.5,6.35,6.7,-2.42,-27.130047,2759,7891,0.5073291455078125,True,REGULAR,USD
54,NVDA241004C00117000,2024-09-27 19:58:09+00:00,117.0,5.7,5.7,5.95,-2.25,-28.30189,4285,6198,0.500005,True,REGULAR,USD
55,NVDA241004C00118000,2024-09-27 19:58:55+00:00,118.0,5.05,5.0,5.1,-2.25,-30.821917,5376,8556,0.47022014160156256,True,REGULAR,USD
56,NVDA241004C00119000,2024-09-27 19:59:22+00:00,119.0,4.4,4.35,4.45,-2.1,-32.30769,4813,3993,0.4672904833984375,True,REGULAR,USD
57,NVDA241004C00120000,2024-09-27 19:59:55+00:00,120.0,3.75,3.75,3.8,-1.9000001,-33.62832,54105,22273,0.4572808178710938,True,REGULAR,USD
58,NVDA241004C00121000,2024-09-27 19:59:53+00:00,121.0,3.2,3.2,3.25,-1.8999999,-37.254898,47961,6802,0.45483943603515625,True,REGULAR,USD
59,NVDA241004C00122000,2024-09-27 19:59:58+00:00,122.0,2.7,2.69,2.73,-1.7,-38.636364,56717,10378,0.44922425781249997,False,REGULAR,USD
60,NVDA241004C00123000,2024-09-27 19:59:59+00:00,123.0,2.27,2.21,2.29,-1.48,-39.466667,92350,13941,0.44775942871093743,False,REGULAR,USD
61,NVDA241004C00124000,2024-09-27 19:59:59+00:00,124.0,1.86,1.86,1.88,-1.4399999,-43.636364,34804,13142,0.44287666503906253,False,REGULAR,USD
62,NVDA241004C00125000,2024-09-27 19:59:58+00:00,125.0,1.55,1.5,1.55,-1.27,-45.03546,89979,38207,0.44287666503906253,False,REGULAR,USD
63,NVDA241004C00126000,2024-09-27 19:59:58+00:00,126.0,1.23,1.2,1.25,-1.1600001,-48.53557,36303,10402,0.43994700683593746,False,REGULAR,USD
64,NVDA241004C00127000,2024-09-27 19:59:59+00:00,127.0,0.98,0.98,1.0,-0.99,-50.253807,27794,12870,0.4382380395507813,False,REGULAR,USD
65,NVDA241004C00128000,2024-09-27 19:59:58+00:00,128.0,0.78,0.75,0.79,-0.89,-53.29341,89450,32237,0.436529072265625,False,REGULAR,USD
66,NVDA241004C00129000,2024-09-27 19:59:59+00:00,129.0,0.62,0.61,0.62,-0.73,-54.074074,38130,26568,0.43555251953125,False,REGULAR,USD
67,NVDA241004C00130000,2024-09-27 19:59:59+00:00,130.0,0.48,0.48,0.49,-0.64,-57.142853,80175,110995,0.4370173486328125,False,REGULAR,USD
68,NVDA241004C00131000,2024-09-27 19:59:54+00:00,131.0,0.37,0.36,0.37,-0.55,-59.782608,10580,13361,0.4335994140625,False,REGULAR,USD
69,NVDA241004C00132000,2024-09-27 19:59:57+00:00,132.0,0.28,0.28,0.3,-0.46,-62.162163,14959,12301,0.44043528320312497,False,REGULAR,USD
70,NVDA241004C00133000,2024-09-27 19:59:33+00:00,133.0,0.22,0.21,0.22,-0.38000003,-63.333332,31544,13049,0.436529072265625,False,REGULAR,USD
71,NVDA241004C00134000,2024-09-27 19:59:21+00:00,134.0,0.17,0.16,0.18,-0.32999998,-66.0,8301,8600,0.44434149414062496,False,REGULAR,USD
72,NVDA241004C00135000,2024-09-27 19:59:57+00:00,135.0,0.13,0.12,0.13,-0.26,-66.66667,22837,23310,0.4414118359375,False,REGULAR,USD
73,NVDA241004C00136000,2024-09-27 19:59:20+00:00,136.0,0.1,0.1,0.11,-0.22,-68.75,3147,3359,0.45117736328125,False,REGULAR,USD
74,NVDA241004C00137000,2024-09-27 19:59:56+00:00,137.0,0.09,0.08,0.09,-0.16999999,-65.38461,3265,2505,0.45898978515625005,False,REGULAR,USD
75,NVDA241004C00138000,2024-09-27 19:57:38+00:00,138.0,0.07,0.06,0.08,-0.13999999,-66.666664,4227,3184,0.4726615234375,False,REGULAR,USD
76,NVDA241004C00139000,2024-09-27 19:58:32+00:00,139.0,0.06,0.05,0.06,-0.099999994,-62.5,3791,1545,0.4726615234375,False,REGULAR,USD
77,NVDA241004C00140000,2024-09-27 19:59:39+00:00,140.0,0.06,0.04,0.06,-0.08,-57.142853,8324,17090,0.49414568359375005,False,REGULAR,USD
78,NVDA241004C00141000,2024-09-27 19:59:54+00:00,141.0,0.05,0.04,0.06,-0.06999999,-58.333332,880,4679,0.500005,False,REGULAR,USD
79,NVDA241004C00142000,2024-09-27 19:35:27+00:00,142.0,0.04,0.03,0.04,-0.050000004,-55.555557,2304,2181,0.5039112109375,False,REGULAR,USD
80,NVDA241004C00143000,2024-09-27 19:58:49+00:00,143.0,0.04,0.03,0.04,-0.04,-50.0,2069,2781,0.51562984375,False,REGULAR,USD
81,NVDA241004C00144000,2024-09-27 19:59:00+00:00,144.0,0.03,0.02,0.03,-0.04,-57.142853,872,1687,0.5117236328125,False,REGULAR,USD
82,NVDA241004C00145000,2024-09-27 19:49:07+00:00,145.0,0.03,0.02,0.03,-0.03,-50.0,1191,4107,0.5312546875,False,REGULAR,USD
83,NVDA241004C00146000,2024-09-27 19:37:59+00:00,146.0,0.02,0.02,0.03,-0.030000001,-60.000004,244,1876,0.5468795312500001,False,REGULAR,USD
84,NVDA241004C00147000,2024-09-27 19:41:40+00:00,147.0,0.03,0.02,0.03,-0.01,-25.0,1042,804,0.5664105859375,False,REGULAR,USD
85,NVDA241004C00148000,2024-09-27 19:39:13+00:00,148.0,0.02,0.01,0.03,-0.01,-33.333336,266,1537,0.570316796875,False,REGULAR,USD
86,NVDA241004C00149000,2024-09-27 19:57:13+00:00,149.0,0.02,0.01,0.02,-0.02,-50.0,61,1925,0.570316796875,False,REGULAR,USD
87,NVDA241004C00150000,2024-09-27 19:40:36+00:00,150.0,0.02,0.01,0.02,-0.02,-50.0,659,4600,0.585941640625,False,REGULAR,USD
88,NVDA241004C00155000,2024-09-27 19:00:34+00:00,155.0,0.02,0.01,0.02,0.01,100.0,759,3958,0.6640658593750002,False,REGULAR,USD
89,NVDA241004C00160000,2024-09-27 19:56:51+00:00,160.0,0.02,0.0,0.02,0.01,100.0,1786,3641,0.70312796875,False,REGULAR,USD
90,NVDA241004C00165000,2024-09-27 19:59:20+00:00,165.0,0.01,0.0,0.01,0.0,0.0,1450,3622,0.73437765625,False,REGULAR,USD
91,NVDA241004C00170000,2024-09-27 19:11:36+00:00,170.0,0.01,0.0,0.01,0.0,0.0,7,4546,0.79687703125,False,REGULAR,USD
92,NVDA241004C00175000,2024-09-27 18:21:05+00:00,175.0,0.01,0.0,0.01,0.0,0.0,36,1876,0.8437515624999999,False,REGULAR,USD
93,NVDA241004C00180000,2024-09-27 18:53:47+00:00,180.0,0.01,0.0,0.01,0.0,0.0,7,10198,0.9062509375,False,REGULAR,USD
94,NVDA241004C00185000,2024-09-27 18:53:47+00:00,185.0,0.01,0.0,0.01,0.0,0.0,6,3162,0.9687503125,False,REGULAR,USD
95,NVDA241004C00190000,2024-09-27 18:23:12+00:00,190.0,0.01,0.0,0.01,0.0,0.0,1,2251,1.0312548437500002,False,REGULAR,USD
96,NVDA241004C00195000,2024-09-27 18:17:25+00:00,195.0,0.01,0.0,0.01,0.0,0.0,1,1141,1.09375453125,False,REGULAR,USD
97,NVDA241004C00200000,2024-09-27 18:22:43+00:00,200.0,0.01,0.0,0.01,0.0,0.0,4,1343,1.125004375,False,REGULAR,USD
98,NVDA241004C00205000,2024-09-27 18:22:52+00:00,205.0,0.01,0.0,0.01,0.0,0.0,2,1378,1.1875040625,False,REGULAR,USD
